"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Peace_logo";1;"LOGO";;;
2;"G***";"GaudiLabs_12";1;"LOGO";;;
3;"G***";"GlobalLampLogo";1;"LOGO";;;
4;"G***";"GOSH_Logo_21mm";1;"LOGO";;;
5;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
6;"R31";"R_0805_2012Metric";1;"100k";;;
7;"U14";"TSSOP-16_4.4x5mm_P0.65mm";1;"IP2721_MAX12";;;
8;"U7";"SSOP-20_5.3x7.2mm_P0.65mm";1;"MCP23008_SS";;;
9;"C18,C4,C5,C7,C12,C13,C14,C15,C20,C21,C23,C25,C27,C29,C30";"C_0805_2012Metric";15;"100nF";;;
10;"H11,H12";"MountingHole_2.6mm";2;"HeatblockMountingHole";;;
11;"U1";"ESP32-WROVER";1;"ESP32-WROVER-32";;;
12;"U4";"SOT-23";1;"XC6206P282MR-G";;;
13;"U5";"SOT-23";1;"XC6206P122MR-G";;;
14;"U13";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
15;"CM1";"FFC_MOLEX_EASYON_05mm_24";1;"CAM_OV7725";;;
16;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
17;"J3";"ER-TFT022_1";1;"ER-TFT022-1";;;
18;"D1,D2,D3,D4,D5,D6,D7,D8";"LED_SMD_WL-SMCW";8;"LED WL-SMCW (150060BS84000)";;;
19;"R2,R3,R4,R10,R11";"R_0805_2012Metric";5;"4.7k";;;
20;"R5,R22,R23,R14,R15,R32,R33,R1";"R_0805_2012Metric";8;"10k";;;
21;"R6,R7,R8,R9,R26,R27";"R_0805_2012Metric";6;"1k";;;
22;"R18,R19";"R_0805_2012Metric";2;"5k1";;;
23;"R24,R25,R12";"R_0805_2012Metric";3;"0R";;;
24;"R28,R29,R30";"R_0805_2012Metric";3;"1R5";;;
25;"H1,H2,H3,H4,H5,H6";"MountingHole_3.2mm_M3";6;"CaseMountingHole";;;
26;"H7,H8,H9,H10";"MountingHole_2.7mm_M2.5";4;"FanMountingHole";;;
27;"R13";"R_0805_2012Metric";1;"DNP";;;
28;"R16,R17,R34,R35";"R_0805_2012Metric";4;"56R";;;
29;"FID1,FID2,FID3,FID4";"Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom";4;"Fiducial";;;
30;"U2";"SOT-223";1;"TLV1117-50";;;
31;"U3";"SOT-223";1;"TLV1117-33";;;
32;"C2,C6,C9,C10,C11,C24,C28";"C_0805_2012Metric";7;"10uF";;;
33;"C8";"C_0805_2012Metric";1;"15pF";;;
34;"C16,C17";"C_0805_2012Metric";2;"22pF";;;
35;"C22";"C_0805_2012Metric";1;"1uF";;;
36;"C31,C32,C33,C34";"C_0805_2012Metric";4;"1nF";;;
37;"U6";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP6004";;;
38;"D9";"LED_0805_2012Metric";1;"LED green";;;
39;"D10";"LED_0805_2012Metric";1;"LED blue";;;
40;"D13";"LED_0805_2012Metric";1;"TX LED";;;
41;"D14";"LED_0805_2012Metric";1;"RX LED";;;
42;"J2";"PinHeader_JST_1x02_P2.54mm_Vertical";1;"FAN_12V";;;
43;"J5,J6";"PinHeader_JST_1x02_P2.54mm_Vertical";2;"LID_12V";;;
44;"Q3,Q4,Q5,Q8,Q9,Q10,Q12,Q11,Q13";"SOT-23";9;"Q_NMOS_GSD";;;
45;"Y1";"Crystal_SMD_HC49-SD";1;"12Mhz";;;
46;"Q6,Q7";"SOT-23";2;"BC847_NPN_BEC";;;
47;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper";;;
48;"SW1";"SW_SPST_KMS221GLFS";1;"SW_Push";;;
49;"TH1,TH2";"C_0402_1005Metric";2;"Thermistor_NTC";;;
50;"X1,X4,X5,X7,X8,X2";"PAD_SMD_3mm";6;"PAD";;;
51;"Q1";"SOT-23";1;"Q_PMOS_GSD";;;
52;"X3,X6";"PAD_SMD_2x1mm";2;"MountPad3";;;
53;"C3,C19";"C_1206_3216Metric";2;"100uF";;;
54;"C1";"C_0805_2012Metric";1;"22nF";;;
